brand,canonical_sku,product_name,gross_sales,promo_deduction,net_sales,referral_fees,fba_fees,net_units,applied_unit_cost,cost_imputed,cost_method,landed_cogs,contribution_margin,contribution_margin_pct,cost_status
GlowTheory,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,14118.13,394.39,13723.74,2073.73,1789.1999999999998,487.0,4.804,False,po_weighted_average,2339.5480000000002,7521.262000000001,0.5480475438910968,PO WAC
GlowTheory,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,9396.24,212.5,9183.74,1390.81,1398.7,376.0,4.098,False,po_weighted_average,1540.848,4853.382,0.5284755448216086,PO WAC
GlowTheory,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,5563.58,177.1,5386.48,812.6800000000001,896.4,242.0,5.196000000000001,False,po_weighted_average,1257.4320000000002,2419.968,0.44926705380879534,PO WAC
GlowTheory,GT-SPF30-TINT,GlowTheory Tinted SPF 30 Sunscreen 50ml,5109.87,129.6,4980.2699999999995,757.16,817.2,213.0,6.304,False,po_weighted_average,1342.752,2063.1579999999994,0.4142662947992779,PO WAC
GlowTheory,GT-EYE-CREAM,GlowTheory Restorative Eye Cream 15ml,3265.79,105.30000000000001,3160.49,478.71999999999997,444.5,121.0,5.098,False,po_weighted_average,616.858,1620.4119999999998,0.5127091052336821,PO WAC
GlowTheory,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,2854.3199999999997,66.3,2788.02,423.98999999999995,662.3000000000001,168.0,3.902,False,po_weighted_average,655.5360000000001,1046.1939999999997,0.3752462320930265,PO WAC
GlowTheory,GT-ROLLER-JADE,GlowTheory Jade Facial Roller,1371.02,26.599999999999998,1344.42,204.33,353.59999999999997,98.0,2.696,False,po_weighted_average,264.208,522.282,0.38848127817199984,PO WAC
GlowTheory,GT-MASK-CLAY,GlowTheory Detox Clay Mask 100g,2128.58,48.0,2080.58,319.8,612.15,142.0,4.598,False,po_weighted_average,652.9159999999999,495.7140000000001,0.23825760124580653,PO WAC
GlowTheory,GT-LIP-BALM,GlowTheory Repair Lip Balm SPF 15,229.77,5.0,224.77,33.75,77.05,23.0,4.7010000000000005,True,brand_median_imputation,108.12300000000002,5.8469999999999995,0.026013257997063662,IMPUTED - REVIEW
PawHaus,PH-CHEW-BULLY-6,PawHaus Bully Stick Chews 6in 8pk,8787.07,186.0,8601.07,1299.33,1393.8,293.0,11.402,False,po_weighted_average,3340.7859999999996,2567.154,0.2984691439553451,PO WAC
PawHaus,PH-TREAT-SALMON,PawHaus Salmon Training Treats 16oz,7482.0599999999995,220.39,7261.669999999999,1092.3500000000001,1556.1,394.0,6.196,False,po_weighted_average,2441.2239999999997,2171.995999999999,0.29910420054890946,PO WAC
PawHaus,PH-DENTAL-30CT,PawHaus Dental Chews 30ct,5717.4,114.4,5603.0,842.75,1078.3,260.0,7.299831649831649,False,po_weighted_average,1897.9562289562289,1783.9937710437707,0.3183997449658702,PO WAC
PawHaus,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,3006.12,75.2,2930.92,439.92,742.6,188.0,3.804,False,po_weighted_average,715.1519999999999,1033.248,0.3525336754329699,PO WAC
PawHaus,PH-BRUSH-DBL,PawHaus Double-Sided Grooming Brush,1857.57,33.8,1823.77,277.98,531.3000000000001,143.0,2.5980000000000003,False,po_weighted_average,371.51400000000007,642.9760000000001,0.352553227654803,PO WAC
PawHaus,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,4900.860000000001,124.7,4776.16,726.58,1512.8,114.0,19.695999999999998,False,po_weighted_average,2245.3439999999996,291.43600000000043,0.061018893839402455,PO WAC
PawHaus,PH-TOY-ROPE-L,PawHaus Braided Rope Toy Large,2909.92,93.78999999999999,2816.13,426.01,810.0,208.0,6.747915824915824,True,brand_median_imputation,1403.5664915824914,176.5535084175086,0.06269366414814252,IMPUTED - REVIEW
Peak Fuel,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,17861.030000000002,490.48,17370.55,2623.93,2507.1,397.0,14.196,False,po_weighted_average,5635.812,6603.7080000000005,0.38016689166434,PO WAC
Peak Fuel,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,10270.89,212.5,10058.39,1519.67,1721.25,411.0,5.598000000000001,False,po_weighted_average,2300.7780000000002,4516.691999999999,0.44904721332141617,PO WAC
Peak Fuel,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,11112.53,297.0,10815.53,1623.94,1512.8,247.0,14.196000000000002,False,po_weighted_average,3506.4120000000003,4172.378,0.38577656388544984,PO WAC
Peak Fuel,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,6532.02,198.0,6334.02,956.99,891.7499999999999,198.0,8.902,False,po_weighted_average,1762.5959999999998,2722.6840000000007,0.42985086880054063,PO WAC
Peak Fuel,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,3162.87,86.8,3076.0699999999997,464.1,487.2,113.0,7.098,False,po_weighted_average,802.074,1322.6960000000001,0.4299954162291496,PO WAC
Peak Fuel,PF-VEGAN-CHOC,Peak Fuel Vegan Protein Chocolate 2lb,3479.13,76.0,3403.13,515.16,555.1,87.0,15.804000000000002,False,po_weighted_average,1374.948,957.9219999999999,0.2814826351035664,PO WAC
Peak Fuel,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,2616.81,57.2,2559.6099999999997,386.09999999999997,481.90000000000003,119.0,6.402,False,po_weighted_average,761.838,929.7719999999997,0.36324752599028753,PO WAC
Peak Fuel,PF-SHAKER-28,Peak Fuel Shaker Bottle 28oz,2078.4,39.0,2039.4,307.21,562.35,160.0,2.3040000000000003,False,po_weighted_average,368.64000000000004,801.2,0.39286064528782977,PO WAC
